"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q65","QID1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q30","Q29","Q28","AB1","AB3","AB4","AB5","AB8","AB10","AB11","V14","V16","V17","V19","V21","V22","D25","D26","D28","D31","D32","D34","D35","Q67","Q68","Q69","Q70","Q71","Q63","Q64","Q54","Q65.1","Q64.1","Q63.1","Q62","Q80","Q83","Q82","Q81","Q66","Q68.1","Q78","Q71.1","Q77","Q74","Q69.1","Q70.1","Q67.1","opp","gc","term","cintid","ProjectToken","gid","sname","TolunaEnc","Q_BallotBoxStuffing","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RecaptchaScore","Q_RelevantIDFraudScore","Q_TotalDuration","Q_CHL","GeoIP","careless_long","irv","irv2","flag"
"206",208,"2021-10-11 07:52:13","2021-10-11 07:57:28",0,"174.60.191.68",100,314,1,"2021-10-11 07:57:28","R_1Lngd0eaw383hdA",NA,NA,NA,NA,41.2382049560547,-76.997802734375,"anonymous","EN",4,3,2,3,4,3,2,2,3,2,2,2,2,3,4,1,1,1,1,1,3,3,3,4,4,3,3,1,1,4,4,2,2,2,2,5,4,4,3,4,4,4,3,4,4,4,3,3,4,5,5,5,1,5,5,1,NA,NA,NA,NA,NA,4,4,4,3,2,13,6,2,"Clerical ",4,3,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"f343ddf7-f6e7-a009-1b43-ea68e119b21a","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,314,"anonymous",NA,5,0.5,0.5,"use"
"207",209,"2021-10-11 07:47:51","2021-10-11 07:57:28",0,"75.83.70.171",100,577,1,"2021-10-11 07:57:28","R_3sspX3xeqUDosrG",NA,NA,NA,NA,34.2528991699219,-118.417999267578,"anonymous","EN",4,3,2,3,2,4,3,1,3,1,2,3,4,5,6,4,3,1,2,4,1,4,4,5,4,4,3,1,5,5,6,2,1,3,3,6,6,5,5,4,6,4,6,4,4,4,2,4,4,5,5,5,2,5,2,2,NA,NA,NA,NA,NA,4,2,4,2,2,8,6,2,"Clerk",4,2,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"1620a7d0-71fd-5b32-7b64-900bb8c0f63b","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,577,"anonymous",NA,3,0.816496580927726,1.15470053837925,"use"
"208",210,"2021-10-11 07:46:49","2021-10-11 07:57:29",0,"68.204.97.129",100,639,1,"2021-10-11 07:57:29","R_1OGGTYw5K5HWOr4",NA,NA,NA,NA,28.1983947753906,-81.4869995117188,"anonymous","EN",4,2,6,4,4,4,1,1,1,1,1,1,4,3,5,3,4,5,2,3,2,3,4,4,5,3,4,2,5,5,5,2,1,2,1,4,4,5,4,3,6,5,2,3,2,2,1,4,3,5,5,5,3,5,5,1,5,5,5,2,2,4,4,4,4,1,9,3,2,"Restaurant server",4,5,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"30335de0-7d54-b020-6854-6a187c7b1c0d","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,639,"anonymous",NA,6,0.816496580927726,0,"Flagged"
"209",211,"2021-10-11 07:49:50","2021-10-11 07:57:31",0,"47.134.72.214",100,460,1,"2021-10-11 07:57:31","R_3HiVzAKFGyakFNa",NA,NA,NA,NA,36.7328033447266,-76.5897979736328,"anonymous","EN",4,3,2,2,2,3,2,2,4,2,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,2,2,2,3,5,3,4,4,4,3,3,2,5,2,2,4,4,5,5,5,5,5,3,1,NA,NA,NA,NA,NA,3,3,3,3,1,7,3,4,"Financial management analyst",4,6,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"978c8334-1323-5a56-d780-b4a7777613d9","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,460,"anonymous",NA,13,0.816496580927726,1,"Flagged"
"210",212,"2021-10-11 07:52:18","2021-10-11 07:57:31",0,"76.24.74.52",100,313,1,"2021-10-11 07:57:32","R_3qxTWIRne1SRDY3",NA,NA,NA,NA,44.6483001708984,-73.1316986083984,"anonymous","EN",4,4,6,4,4,4,3,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,2,4,4,5,2,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,4,2,5,5,5,4,2,1,1,1,1,1,6,2,1,"Customer service representative ",4,5,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"9cdeb2e0-bee4-f09b-8654-85f59b5bda0d","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,313,"anonymous",NA,8,1.5,0.577350269189626,"use"
"211",213,"2021-10-11 07:48:45","2021-10-11 07:57:32",0,"68.2.207.148",100,526,1,"2021-10-11 07:57:32","R_1FcO0aGykLBgCwF",NA,NA,NA,NA,33.7528991699219,-112.089302062988,"anonymous","EN",4,4,6,4,4,4,4,3,3,4,4,5,6,6,6,6,7,6,7,7,7,7,7,7,6,6,7,4,7,5,5,2,4,5,3,5,1,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,4,5,5,5,5,5,5,5,2,1,1,2,1,8,3,1,1,"Writer/Editor",1,6,6,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"882de69f-75d0-2ecb-762b-d1065eb8f073","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,526,"anonymous",NA,10,2.21735578260835,0.577350269189626,"use"
"212",214,"2021-10-11 07:50:17","2021-10-11 07:57:35",0,"199.8.89.253",100,437,1,"2021-10-11 07:57:35","R_3NPAVJ6OnjZ7S68",NA,NA,NA,NA,40.8771057128906,-85.5045013427734,"anonymous","EN",4,4,3,4,3,4,3,2,4,2,2,4,5,5,5,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,4,5,2,3,3,4,6,4,4,2,4,4,3,2,6,4,5,5,2,5,5,5,3,5,5,2,NA,NA,NA,NA,NA,4,4,4,4,1,5,2,2,"Resident director and director of student programming ",2,2,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"7af6db60-7540-7946-add4-ecdd08190d8c","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,437,"anonymous",NA,5,1.63299316185545,0.957427107756338,"use"
"213",215,"2021-10-11 07:47:05","2021-10-11 07:57:35",0,"67.175.19.117",100,630,1,"2021-10-11 07:57:36","R_2pSodPmtSbzjAqU",NA,NA,NA,NA,41.7722930908203,-87.9795989990234,"anonymous","EN",4,3,3,3,3,4,4,3,3,4,4,4,5,5,3,5,3,5,4,4,4,3,3,4,5,3,5,1,3,4,4,3,4,3,3,4,4,3,4,3,3,4,4,3,4,3,3,5,3,3,2,3,4,3,3,2,NA,NA,NA,NA,NA,4,3,3,3,1,5,3,3,"Izt trainer",2,5,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"68e80b40-61b3-f853-b3f4-3cc3d7bc05ac","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,630,"anonymous",NA,4,0.577350269189626,0.577350269189626,"use"
"214",216,"2021-10-11 07:48:26","2021-10-11 07:57:36",0,"73.211.95.54",100,549,1,"2021-10-11 07:57:36","R_1pAIi8tjPvi01m8",NA,NA,NA,NA,41.7404937744141,-87.6586990356445,"anonymous","EN",4,5,7,4,4,5,4,5,5,4,5,5,3,7,7,5,5,6,6,5,4,7,7,3,6,7,6,7,6,5,6,5,4,5,5,5,4,4,6,3,5,5,6,5,5,6,6,6,6,5,5,5,5,5,2,1,5,5,5,5,2,1,1,1,1,2,5,2,3,"Management ",2,5,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"5052cbc0-9fca-03f3-0974-fc792f8ef82c","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,549,"anonymous",NA,5,1.25830573921179,0.577350269189626,"use"
"215",217,"2021-10-11 07:49:17","2021-10-11 07:57:36",0,"73.255.75.234",100,499,1,"2021-10-11 07:57:36","R_2BwJYwm5q929In7",NA,NA,NA,NA,29.8202972412109,-95.4255981445312,"anonymous","EN",4,4,7,5,2,4,4,3,2,4,4,4,6,7,7,6,6,4,6,6,6,7,6,5,5,5,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,3,5,5,5,2,2,3,4,4,4,1,9,3,2,"Housekeeping ",4,6,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"cd647e30-9af0-b0c0-3f84-494fb7badadc","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,499,"anonymous",NA,6,NA,0.957427107756338,"use"
"216",218,"2021-10-11 07:41:29","2021-10-11 07:57:37",0,"72.76.209.125",100,967,1,"2021-10-11 07:57:38","R_2bTTHb7nzHnxs3b",NA,NA,NA,NA,40.3735961914062,-74.0110015869141,"anonymous","EN",4,2,6,3,4,3,4,2,2,4,3,3,5,5,7,3,4,4,6,6,2,2,6,3,6,2,6,4,5,6,4,2,2,3,4,3,6,2,5,6,1,4,5,2,1,4,6,5,4,5,5,5,5,4,5,1,NA,NA,NA,NA,NA,4,5,1,2,1,5,2,2,"FACILITY MANAGER",2,6,6,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"70fc7e27-2d89-5b9c-a793-49d787cfa9ca","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,967,"anonymous",NA,4,1.89296944860009,1.15470053837925,"use"
"217",219,"2021-10-11 07:52:08","2021-10-11 07:57:44",0,"73.226.152.161",100,335,1,"2021-10-11 07:57:45","R_2WVF1fMLYzxkGki",NA,NA,NA,NA,40.0350952148438,-74.1107025146484,"anonymous","EN",4,4,6,4,3,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,4,5,5,5,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,5,5,3,5,5,5,5,2,3,3,3,3,1,14,6,2,"Customer Service",4,5,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"536447f2-d1f2-3e8d-3c46-704fd809951f","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,335,"anonymous",NA,9,NA,0,"Flagged"
"218",220,"2021-10-11 07:50:22","2021-10-11 07:57:50",0,"107.144.239.155",100,448,1,"2021-10-11 07:57:51","R_Wp00NBluZimjcD7",NA,NA,NA,NA,35.4145050048828,-119.040298461914,"anonymous","EN",4,3,6,3,3,3,2,3,3,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,3,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,5,2,1,5,5,5,4,2,4,4,3,3,6,10,1,1,"coupon finder",4,6,6,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"b5f7ceb2-8810-6c90-ac06-f9dcddcfc85f","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,448,"anonymous",NA,6,NA,0.816496580927726,"use"
"219",221,"2021-10-11 07:47:18","2021-10-11 07:57:54",0,"174.68.182.116",100,635,1,"2021-10-11 07:57:54","R_25vaB0wjKtusVnz",NA,NA,NA,NA,36.1020050048828,-115.14469909668,"anonymous","EN",4,5,7,4,2,4,3,2,3,2,2,4,4,6,6,6,4,4,1,2,3,7,7,7,7,2,7,7,4,1,2,5,1,3,5,5,4,3,4,2,4,5,6,4,5,6,6,4,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,2,2,3,4,5,2,1,4,3,1,"senior supervisor",3,5,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"47661d7b-8fef-ed13-3dcf-2a4db3e7eb97","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,635,"anonymous",NA,4,0.957427107756338,0.577350269189626,"use"
"220",222,"2021-10-11 07:51:18","2021-10-11 07:57:56",0,"24.166.68.106",100,397,1,"2021-10-11 07:57:56","R_3EZruRyv54mcmvp",NA,NA,NA,NA,41.1714935302734,-80.8671035766602,"anonymous","EN",4,4,6,4,3,4,4,4,2,4,4,5,6,7,6,6,6,4,7,7,6,7,6,7,6,6,6,4,6,5,6,4,6,6,5,5,3,5,5,5,5,5,5,5,6,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,2,3,3,4,3,1,10,3,2,"vp of hr",1,2,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"02e7545b-5331-d3ee-bcef-63ccc3b117b6","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,397,"anonymous",NA,7,1,1,"use"
"221",223,"2021-10-11 07:36:12","2021-10-11 07:58:00",0,"98.192.209.136",100,1307,1,"2021-10-11 07:58:00","R_1QB2nlCs7KnjrRF",NA,NA,NA,NA,39.1546020507812,-75.4953002929688,"anonymous","EN",4,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,4,5,5,2,2,2,2,2,2,3,3,4,3,2,9,2,2,"Auditor",3,5,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"e0f383d6-c1de-2134-a962-b4d88e03b838","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,1307,"anonymous",NA,12,0,0.5,"Flagged"
"222",224,"2021-10-11 07:49:04","2021-10-11 07:58:04",0,"174.106.180.145",100,540,1,"2021-10-11 07:58:05","R_3nBC3lgftAWRc5O",NA,NA,NA,NA,35.0352020263672,-76.7015991210938,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,3,4,2,2,3,4,4,4,6,4,2,3,1,6,4,4,1,1,2,4,5,4,4,4,4,5,3,5,5,5,5,3,5,5,5,5,5,2,5,3,2,5,5,5,5,3,2,2,2,1,2,10,6,2,"Deli associate",4,3,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"978cd052-3948-1894-d7e6-e7a7df7c7dbf","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,540,"anonymous",NA,5,0,NA,"Flagged"
"223",225,"2021-10-11 07:54:57","2021-10-11 07:58:05",0,"72.241.232.178",100,188,1,"2021-10-11 07:58:05","R_29iXfQ8YlcEKyxU",NA,NA,NA,NA,41.6502990722656,-83.5065002441406,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,2,5,5,5,5,5,2,2,2,2,1,13,4,2,"Warehouse ",4,2,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"0726b3b8-a0b9-979c-7e0c-840db16dc054","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,188,"anonymous",NA,13,0,NA,"Flagged"
"224",226,"2021-10-11 07:49:31","2021-10-11 07:58:05",0,"107.77.199.109",100,514,1,"2021-10-11 07:58:06","R_2c6mv9bL86GdvDA",NA,NA,NA,NA,32.7796936035156,-96.8022003173828,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,3,4,4,5,1,5,4,5,4,5,3,3,2,3,3,5,3,3,3,2,2,4,4,3,2,4,3,2,2,2,3,5,5,3,5,5,5,2,5,4,2,4,2,2,2,2,5,5,5,5,6,14,1,1,"Wfh",4,3,6,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"b792cebe-26af-1a19-c90a-f9b964786253","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,514,"anonymous",NA,4,0.957427107756338,NA,"use"
"225",227,"2021-10-11 07:52:40","2021-10-11 07:58:08",0,"98.193.81.68",100,328,1,"2021-10-11 07:58:09","R_3FIHnLQixWaXOxF",NA,NA,NA,NA,41.6862030029297,-86.1720962524414,"anonymous","EN",4,4,6,5,4,4,4,4,4,4,4,4,6,7,6,6,6,6,5,6,7,6,5,5,3,5,6,3,3,6,5,5,5,6,5,5,5,6,6,5,5,5,4,5,5,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,2,2,2,2,1,1,11,2,3,"Director of information technology security ",2,2,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"8672957b-5d73-d68c-2acf-a259fd0c3c96","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,328,"anonymous",NA,8,0.577350269189626,0,"Flagged"
"226",228,"2021-10-11 07:52:35","2021-10-11 07:58:14",0,"70.126.180.229",100,339,1,"2021-10-11 07:58:15","R_2awBSQLFfcWEbEC",NA,NA,NA,NA,28.2364959716797,-82.3289031982422,"anonymous","EN",4,5,7,5,3,5,5,5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,5,4,5,6,6,6,6,6,6,6,6,5,4,5,1,5,4,1,5,5,5,5,1,1,1,1,1,2,14,2,2,"Supervisor ",3,3,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"433d1aca-d342-59f2-657e-2d1609fdb326","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,339,"anonymous",NA,9,0.957427107756338,0.5,"use"
"227",229,"2021-10-11 07:53:53","2021-10-11 07:58:15",0,"129.7.0.241",100,261,1,"2021-10-11 07:58:15","R_2aXmsMz2fu8TZVB",NA,NA,NA,NA,29.8365020751953,-95.4369964599609,"anonymous","EN",4,5,7,5,1,5,5,5,1,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,"Janitorial clean up",4,3,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"c673f5b4-f854-a415-2b00-c258679e9058","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,261,"anonymous",NA,17,0.5,2,"Flagged"
"228",230,"2021-10-11 07:51:21","2021-10-11 07:58:15",0,"174.206.66.243",100,413,1,"2021-10-11 07:58:15","R_2v1flUgf9qHhFBX",NA,NA,NA,NA,36.7969055175781,-76.1797027587891,"anonymous","EN",4,3,6,2,2,3,3,3,3,3,3,4,4,5,5,4,4,4,3,4,5,4,3,5,3,4,6,2,7,3,4,2,1,4,2,5,4,4,5,3,4,4,5,2,3,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,2,3,3,2,3,1,7,3,2,"Senior Park Ranger",3,3,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"7222716d-47c1-d388-79d9-4609479e2381","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,413,"anonymous",NA,6,0.816496580927726,0,"Flagged"
"229",231,"2021-10-11 07:53:12","2021-10-11 07:58:15",0,"184.55.17.50",100,303,1,"2021-10-11 07:58:15","R_231NdGwYdQBkC1D",NA,NA,NA,NA,43.7536926269531,-87.975700378418,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,6,5,4,5,4,4,4,6,4,1,4,4,5,6,4,2,5,4,2,1,6,5,3,4,2,4,5,4,1,1,6,6,6,4,5,4,5,2,5,5,1,5,5,5,5,3,5,5,5,5,1,5,1,2,"Counselor ",2,3,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"a114d958-a87e-9444-4cec-ee3f8fb1ecb5","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,303,"anonymous",NA,4,1.29099444873581,NA,"use"
"230",232,"2021-10-11 07:50:16","2021-10-11 07:58:16",0,"96.28.193.232",100,479,1,"2021-10-11 07:58:16","R_yR6sBATei2JwRY5",NA,NA,NA,NA,38.1405029296875,-85.693603515625,"anonymous","EN",4,3,6,3,2,3,4,4,3,3,4,4,4,4,7,3,3,4,3,1,1,2,5,5,3,1,4,1,5,5,5,2,2,2,2,2,2,4,4,3,5,3,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,2,3,3,2,2,5,2,2,"Supervisior",2,5,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"933e842f-81e4-2632-659b-b315323ac1c2","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,479,"anonymous",NA,7,0.957427107756338,0.577350269189626,"use"
"231",233,"2021-10-11 07:53:39","2021-10-11 07:58:16",0,"68.94.245.171",100,277,1,"2021-10-11 07:58:17","R_31GGZT8YZkOvdIZ",NA,NA,NA,NA,35.8426971435547,-101.45580291748,"anonymous","EN",4,5,7,5,3,4,4,5,4,5,4,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,5,1,5,5,5,5,2,1,4,4,4,1,1,1,2,"Wait staff",4,6,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"bb2cc897-ac48-98b7-7423-ff071784c87a","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,277,"anonymous",NA,16,NA,0.577350269189626,"Flagged"
"232",234,"2021-10-11 07:49:34","2021-10-11 07:58:17",0,"107.77.210.174",100,523,1,"2021-10-11 07:58:18","R_245V13WxmTuSYj6",NA,NA,NA,NA,41.8764038085938,-87.6132965087891,"anonymous","EN",4,2,3,2,2,4,3,3,2,3,2,2,3,5,4,5,3,5,6,3,4,6,6,5,6,6,5,6,6,2,4,5,3,2,3,5,4,4,4,4,5,3,3,2,4,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,2,3,3,4,3,1,10,3,2,"Supervisor for dietary needs",3,6,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"a0d942d5-662f-965b-8261-75f220e82638","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,523,"anonymous",NA,4,0,0.5,"Flagged"
"233",235,"2021-10-11 07:52:45","2021-10-11 07:58:20",0,"69.222.252.197",100,334,1,"2021-10-11 07:58:20","R_07eMcxKvaw0Oash",NA,NA,NA,NA,40.1148986816406,-82.905403137207,"anonymous","EN",4,4,6,2,3,3,4,2,5,3,3,3,6,6,6,6,6,4,4,5,6,6,6,6,3,6,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,2,5,4,5,5,5,5,3,2,2,2,1,2,1,4,5,1,"Tier 2 Customer Service Representative ",4,6,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"0036510a-0c1d-17aa-6ebe-661dd0ae44e7","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,334,"anonymous",NA,5,NA,1.29099444873581,"use"
"234",236,"2021-10-11 07:55:28","2021-10-11 07:58:20",0,"98.214.60.69",100,171,1,"2021-10-11 07:58:21","R_3dWCaUH8fDEDJl7",NA,NA,NA,NA,41.5547943115234,-87.6593017578125,"anonymous","EN",4,5,6,5,2,5,5,5,1,5,5,5,7,7,6,6,7,5,7,6,7,5,6,6,6,7,6,7,5,5,6,6,5,6,5,6,6,5,6,6,4,6,3,6,5,6,6,6,5,5,5,5,5,5,5,1,NA,NA,NA,NA,NA,5,5,5,5,6,9,1,4,"Homemaker",4,3,1,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"894dc969-b5ba-f4a4-15dd-fe66f085f184","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,171,"anonymous",NA,7,0.5,2,"Flagged"
"235",237,"2021-10-11 07:52:28","2021-10-11 07:58:20",0,"138.229.132.196",100,352,1,"2021-10-11 07:58:21","R_2zpFEVwPrElo0FX",NA,NA,NA,NA,34.4178924560547,-117.306396484375,"anonymous","EN",4,4,3,5,4,5,4,3,2,5,3,4,5,5,6,4,5,6,7,7,6,7,5,6,6,6,7,6,7,6,3,4,2,5,2,6,4,5,4,4,5,5,6,5,5,4,5,5,5,5,5,5,5,5,4,1,5,5,3,4,1,1,1,2,1,1,16,2,2,"Operations manager ",2,6,1,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"cead1029-0d16-529a-f59d-278611a969c5","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,352,"anonymous",NA,8,0.5,1.29099444873581,"use"
"236",238,"2021-10-11 07:51:19","2021-10-11 07:58:25",0,"24.62.170.104",100,426,1,"2021-10-11 07:58:26","R_2frGj8VRctp9DQp",NA,NA,NA,NA,43.0543975830078,-71.3159027099609,"anonymous","EN",4,3,1,4,5,4,3,3,3,3,3,3,1,4,1,6,3,1,4,1,6,6,7,4,4,1,6,1,6,6,2,1,1,1,1,6,2,6,6,1,5,1,1,6,6,5,6,6,6,5,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,6,9,3,2,"manager",3,5,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"c88b6ac1-c55a-d84d-d075-5da03615a42c","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,426,"anonymous",NA,6,2.62995563967658,0,"Flagged"
"237",239,"2021-10-11 07:50:35","2021-10-11 07:58:28",0,"100.6.49.2",100,472,1,"2021-10-11 07:58:28","R_2uODoZLcuEKY4Cc",NA,NA,NA,NA,40.3766937255859,-79.8112030029297,"anonymous","EN",4,4,6,4,4,4,4,4,4,4,4,4,4,6,6,4,6,6,6,5,6,7,6,6,5,4,6,3,7,4,5,3,3,4,3,5,3,5,4,4,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,2,2,3,2,2,4,3,2,"Field Service Rep",4,7,6,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"c3d37a83-6c30-df51-8837-4df87de62c6e","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,472,"anonymous",NA,10,0.816496580927726,0,"Flagged"
